City of Agoura Hills,820,3927,12,57
City of Alhambra,5876,6776,113,130
City of Arcadia,2252,3899,82,142
City of Artesia,1735,10330,39,232
City of Avalon,9,233,0,0
City of Azusa,5488,10967,76,152
City of Baldwin Park,11582,15087,196,255
City of Bell,5857,16121,82,226
City of Bell Gardens,7335,17030,68,158
City of Bellflower,9296,11959,113,145
City of Beverly Hills,2140,6199,20,58
City of Bradbury,33,3087,0,0
City of Burbank,7176,6695,163,152
City of Calabasas,962,3955,16,66
City of Carson,7783,8293,137,146
City of Cerritos,2490,4973,27,54
City of Claremont,1938,5312,36,99
City of Commerce*,2181,16688,28,214
City of Compton,14646,14660,149,149
City of Covina,5587,11395,103,210
City of Cudahy,4209,17288,35,144
City of Culver City,1818,4560,65,163
City of Diamond Bar,2693,4682,30,52
City of Downey,15433,13507,177,155
City of Duarte,1987,9025,58,263
City of El Monte,15094,12871,286,244
City of El Segundo,554,3300,4,24
City of Gardena,5296,8638,119,194
City of Glendale,15808,7655,392,190
City of Glendora,4065,7704,124,235
City of Hawaiian Gardens,1955,13321,4,27
City of Hawthorne,8743,9847,120,135
City of Hermosa Beach,793,4032,7,36
City of Hidden Hills,67,3545,0,0
City of Huntington Park,10002,16815,111,187
City of Industry,129,29519,3,686
City of Inglewood,11491,10117,207,182
City of Irwindale,223,15284,3,206
City of La Canada Flintridge,635,3069,12,58
City of La Habra Heights,92,1687,1,18
City of La Mirada,3630,7319,69,139
City of La Puente,5913,14529,66,162
City of La Verne,2396,7199,35,105
City of Lakewood,6085,7572,42,52
City of Lancaster*,18521,11463,166,103
City of Lawndale,2928,8711,31,92
City of Lomita,1128,5442,13,63
City of Lynwood*,11709,16252,170,236
City of Malibu,292,2253,6,46
City of Manhattan Beach,1042,2895,11,31
City of Maywood,4615,16453,61,217
City of Monrovia,2712,6990,50,129
City of Montebello,8950,13903,119,185
City of Monterey Park,4092,6572,122,196
City of Norwalk,13953,12965,193,179
City of Palmdale,21112,13281,164,103
City of Palos Verdes Estates,297,2196,3,22
City of Paramount,8794,15697,90,161
City of Pico Rivera,9781,15215,168,261
City of Pomona,21684,13906,288,185
City of Rancho Palos Verdes,1055,2468,36,84
City of Redondo Beach,2195,3195,20,29
City of Rolling Hills,36,1856,0,0
City of Rolling Hills Estates,203,2502,5,62
City of Rosemead,4113,7431,84,152
City of San Dimas*,2669,7733,54,156
City of San Fernando,4495,18263,43,175
City of San Gabriel,2715,6629,149,364
City of San Marino,330,2486,11,83
City of Santa Clarita,16566,7516,157,71
City of Santa Fe Springs,2417,13162,27,147
City of Santa Monica,3756,4063,107,116
City of Sierra Madre,395,3595,8,73
City of Signal Hill,976,8273,6,51
City of South El Monte,3010,14412,33,158
City of South Gate,16435,16744,147,150
City of South Pasadena,1125,4318,35,134
City of Temple City,2003,5494,81,222
City of Torrance,5728,3837,126,84
City of Vernon,115,55024,1,478
City of Walnut,1472,4821,24,79
City of West Covina,11091,10247,133,123
City of West Hollywood,1835,4966,23,62
City of Westlake Village,86,1029,0,0
City of Whittier,9636,11021,161,184
Los Angeles,431102,10659,6245,154
Los Angeles - Adams-Normandie,1017,12399,12,146
Los Angeles - Alsace,1392,11185,12,96
Los Angeles - Angeles National Forest,5,12500,0,0
Los Angeles - Angelino Heights,239,9552,2,80
Los Angeles - Arleta,6089,17716,69,201
Los Angeles - Atwater Village,1210,8250,14,95
Los Angeles - Baldwin Hills,2327,7476,41,132
Los Angeles - Bel Air,321,3808,2,24
Los Angeles - Beverly Crest,510,4072,4,32
Los Angeles - Beverlywood,716,5435,1,8
Los Angeles - Boyle Heights*,15704,18075,189,218
Los Angeles - Brentwood,1211,3912,9,29
Los Angeles - Brookside,26,4475,2,344
Los Angeles - Cadillac-Corning,596,8370,6,84
Los Angeles - Canoga Park,8037,12310,115,176
Los Angeles - Carthay,801,5577,40,278
Los Angeles - Central,6714,17219,79,203
Los Angeles - Century City,500,3909,8,63
Los Angeles - Century Palms/Cove,5512,16324,55,163
Los Angeles - Chatsworth,3096,8354,54,146
Los Angeles - Cheviot Hills,368,4013,7,76
Los Angeles - Chinatown,628,7829,7,87
Los Angeles - Cloverdale/Cochran,1389,9544,16,110
Los Angeles - Country Club Park,1296,8553,55,363
Los Angeles - Crenshaw District,1246,9010,16,116
Los Angeles - Crestview,825,7257,33,290
Los Angeles - Del Rey,1704,5692,17,57
Los Angeles - Downtown*,3255,11833,27,98
Los Angeles - Eagle Rock,3198,8078,71,179
Los Angeles - East Hollywood,2765,9441,78,266
Los Angeles - Echo Park,1162,8151,15,105
